Status ;WCAG Sucess criterias;Level;Responsible ;Evaluted ;Needs to be done ;Comments ;Process 
;;;;;;;
;;;;;;;
;;;;;;;
;Perceivable (Möjlig att uppfatta);;;;;;
1;1.1.1 Non-text Content;A;All ;Partial;;CU/map: decorative alt="" on icons with aria-label on controls; marker pins use parent name.;
1;1.2.1 Audio-only and Video-only (Prerecorded);A;All;No;;;
1;1.2.2 Captions (Prerecorded);A;NA ;No;;;
1;1.2.3 Audio Description or Media Alternative;A;All;No;;;
1;1.2.4 Captions (Live);AA;NA;No;;;
1;1.2.5 Audio Description (Prerecorded);AA;Our Normal, Kokokaka ;No;;;
1;1.2.6 Sign Language (Prerecorded);AAA;NA;No;;;
1;1.2.7 Extended Audio Description;AAA;NA ;No;;;
1;1.2.8 Media Alternative (Prerecorded);AAA;Our Normal, Kokokaka;No;;;
1;1.2.9 Audio-only (Live);AAA;NA;No;;;
1;1.3.1 Info and Relationships;A;Younite;Partial;;Semantic landmarks + ARIA on major CU panels; ongoing audit per feature.;
1;1.3.2 Meaningful Sequence;A;Younite;Partial;;DOM order matches visual layout in CU; 3D stream layer separate.;
1;1.3.3 Sensory Characteristics;A;Younite;Partial;;Instructions use text/icons; not solely sensory.;
1;1.3.4 Orientation;AA;Younite, Kokokaka;Partial;;Responsive layout; no orientation lock in web app.;
1;1.3.5 Identify Input Purpose;AA;Younite;Partial;;Search autocomplete=search; seat fields use name=stadium-section/row/seat (no HTML autocomplete token for venue seats).;
1;1.3.6 Identify Purpose;AAA;Younite;No;;;
1;1.4.1 Use of Color;A;Younite, Kokokaka;Yes;;May 2026 audit: no controls rely on color alone for function/state — labels, icons, borders, aria-pressed, and toggle glyphs accompany color cues (search chips, settings toggles, media toolbars).;
1;1.4.2 Audio Control;A;Kokokaka, Younite;Yes;;CU media (video/360/videobook/spatial) expose mute/volume; team QA pass Mar 2026.;
1;1.4.3 Contrast (Minimum);AA;Kokokaka;No;;Design audit: verify 4.5:1 text / 3:1 UI contrast tokens.;
1;1.4.4 Resize Text;AA;Kokokaka, Younite;Partial;;Settings text-size slider; browser zoom supported.;
1;1.4.5 Images of Text;AA;Kokokaka;No;;Design: avoid images of text where possible.;
1;1.4.6 Contrast (Enhanced);AAA;Kokokaka;No;;;
1;1.4.7 Low or No Background Audio;AAA;Younite, kokokaka;No;;;
1;1.4.8 Visual Presentation;AAA;Kokokaka ;No;;;
1;1.4.9 Images of Text (No Exception);AAA;NA;No;;;
1;1.4.10 Reflow;AA;Younite ?;Partial;;Mobile-first CU; full reflow audit pending.;
1;1.4.11 Non-text Contrast;AA;Kokokaka;No;;Design audit: non-text control contrast.;
1;1.4.12 Text Spacing;AA;Kokokaka;No;;Design/CSS: text spacing overrides.;
1;1.4.13 Content on Hover or Focus;AA;Younite;Partial;;Tooltips/hover panels; dismiss via Escape on modals.;
;Operable (Hanterbar);;;;;;
1;2.1.1 Keyboard;A;Younite;Partial;;CU controls keyboard-reachable; 3D viewport uses stream input.;
1;2.1.2 No Keyboard Trap;A;Younite;Yes;;useModalAccessibility (focus trap + restore) on CU modals/sheets.;
1;2.1.3 Keyboard (No Exception);AAA;Younite;No;;;
